epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,1473.69,0.53343,0.40094,0.86372,0.80393,0.76289,0.81075,0.61028,0.78543,0.83062,0.99595,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,1488.51,0.52517,0.39553,0.8626,0.79876,0.77235,0.80825,0.60766,0.79963,0.81272,0.99857,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,1503.45,0.52552,0.39861,0.86799,0.82191,0.74377,0.801,0.61058,0.81709,0.82903,1.01567,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,1517.89,0.51902,0.39034,0.86352,0.80365,0.7324,0.78946,0.58956,0.82429,0.84901,1.03971,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,1532.01,0.51433,0.39098,0.86199,0.77961,0.75996,0.78947,0.58889,0.80845,0.84936,1.00367,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,1546.33,0.51625,0.39265,0.85906,0.7671,0.76182,0.78869,0.60507,0.79465,0.86318,0.98581,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,1560.46,0.52493,0.39422,0.86472,0.80755,0.73701,0.80806,0.6174,0.77837,0.80443,0.99112,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,1575.46,0.50631,0.38919,0.85936,0.78423,0.77708,0.81979,0.61712,0.79601,0.79738,0.99351,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
106,1590.45,0.51353,0.38204,0.85884,0.79654,0.7734,0.81089,0.61233,0.82456,0.78507,1.01612,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
107,1605.37,0.50609,0.38231,0.86306,0.78044,0.7561,0.80369,0.60386,0.80583,0.79541,1.01157,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
108,1620.24,0.51279,0.3811,0.86299,0.80076,0.73056,0.8005,0.60843,0.80416,0.83453,1.00341,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407
109,1634.88,0.51112,0.38643,0.86417,0.78879,0.75604,0.80003,0.6019,0.81202,0.82097,1.00868,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
110,1649.51,0.5023,0.38111,0.86154,0.81766,0.73137,0.80948,0.61023,0.79265,0.81305,0.99403,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209
111,1664.35,0.4997,0.37873,0.85714,0.80264,0.71706,0.80268,0.60822,0.82631,0.82399,1.02312,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
112,1678.66,0.50313,0.37807,0.85997,0.79558,0.74105,0.8082,0.61982,0.77997,0.78899,0.97998,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
113,1693.41,0.50451,0.37415,0.86122,0.78848,0.78367,0.80082,0.6148,0.77815,0.77364,0.97724,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
114,1707.66,0.50783,0.38089,0.85726,0.78271,0.78105,0.81202,0.61613,0.77667,0.78474,0.98202,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813
